runId,workFactor,endpointMode,payloadSize,concurrency,go-stdlibRpsMedian,oracle-jdk-jvmRpsMedian,oracle-jdk-leyden-aotRpsMedian
sequential_generated_serious_20260528_1010,10,generated,7,1,4867.86,3978.52,4831.73
sequential_generated_serious_20260528_1010,10,generated,7,6,21472.33,16544.71,18353.74
sequential_generated_serious_20260528_1010,10,generated,7,12,21024.46,20901.05,25995.61
sequential_generated_serious_20260528_1010,10,generated,7,24,48956.43,43813.35,43268.77
sequential_generated_serious_20260528_1010,10,generated,7,48,49563.99,54187.83,60238.88
sequential_generated_serious_20260528_1010,10,generated,7,96,58048.83,72504.43,74997.73
sequential_generated_serious_20260528_1010,10,generated,7,192,61785.28,97190.01,72389.83
sequential_generated_serious_20260528_1010,10,generated,128,1,4443.95,4250.15,4703.74
sequential_generated_serious_20260528_1010,10,generated,128,6,18563.22,20320.47,18742.64
sequential_generated_serious_20260528_1010,10,generated,128,12,21771.10,28461.30,28683.03
sequential_generated_serious_20260528_1010,10,generated,128,24,33909.79,46137.68,42966.42
sequential_generated_serious_20260528_1010,10,generated,128,48,31602.71,70080.90,57867.88
sequential_generated_serious_20260528_1010,10,generated,128,96,39423.87,74156.25,69650.68
sequential_generated_serious_20260528_1010,10,generated,128,192,51332.43,76415.12,74887.12
sequential_generated_serious_20260528_1010,10,generated,2048,1,3164.74,3577.10,2725.09
sequential_generated_serious_20260528_1010,10,generated,2048,6,5943.90,12773.83,12078.13
sequential_generated_serious_20260528_1010,10,generated,2048,12,3144.01,21796.06,13528.76
sequential_generated_serious_20260528_1010,10,generated,2048,24,3975.40,25519.14,19812.14
sequential_generated_serious_20260528_1010,10,generated,2048,48,9715.43,31452.15,27772.60
sequential_generated_serious_20260528_1010,10,generated,2048,96,13241.83,38373.56,22502.28
sequential_generated_serious_20260528_1010,10,generated,2048,192,16217.01,36964.76,34308.34
sequential_generated_serious_20260528_1010,10,generated,8192,1,1881.05,2035.54,1971.32
sequential_generated_serious_20260528_1010,10,generated,8192,6,3798.70,8214.24,7943.89
sequential_generated_serious_20260528_1010,10,generated,8192,12,3790.17,9664.95,10904.42
sequential_generated_serious_20260528_1010,10,generated,8192,24,4431.24,11144.51,10704.48
sequential_generated_serious_20260528_1010,10,generated,8192,48,5042.88,12594.97,11638.42
sequential_generated_serious_20260528_1010,10,generated,8192,96,6050.80,11167.28,13913.82
sequential_generated_serious_20260528_1010,10,generated,8192,192,6922.48,13427.28,13038.49
