runId,runtimeVariant,service,workFactor,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max
sequential_full_20260527_204614,go-stdlib,go,10,128,48,2,214856,0,4.001104321s,53699.17,554.966µs,2.675691ms,3.921222ms,6.53611ms,40.11µs,9.320056ms
sequential_full_20260527_204614,go-stdlib,go,10,128,96,1,264353,0,4.003136213s,66036.47,753.751µs,4.798658ms,6.99439ms,10.512086ms,42.93µs,16.432899ms
sequential_full_20260527_204614,go-stdlib,go,10,128,96,2,271230,0,4.003574393s,67746.96,739.459µs,4.733854ms,6.965661ms,10.142946ms,43.356µs,20.038369ms
sequential_full_20260527_204614,go-stdlib,go,10,128,192,1,231070,0,4.006322126s,57676.34,1.645939ms,11.275101ms,17.166433ms,25.219037ms,46.912µs,46.5569ms
sequential_full_20260527_204614,go-stdlib,go,10,128,192,2,265990,0,4.006543822s,66388.89,1.360051ms,10.071912ms,15.243337ms,21.812498ms,47.424µs,33.820754ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,1,1,15496,0,4.000123766s,3873.88,240.377µs,390.022µs,601.179µs,874.14µs,127.067µs,3.534567ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,1,2,15771,0,4.000107363s,3942.64,237.727µs,372.827µs,586.919µs,821.434µs,134.043µs,3.356545ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,6,1,45725,0,4.000775639s,11429.03,507.3µs,903.437µs,1.272366ms,2.658905ms,109.046µs,7.62639ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,6,2,45107,0,4.000768307s,11274.58,512.618µs,922.535µs,1.281149ms,2.872395ms,114.321µs,11.074643ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,12,1,51036,0,4.000896306s,12756.14,783.293µs,2.09612ms,2.999607ms,5.028537ms,113.418µs,10.207234ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,12,2,50711,0,4.0011902s,12673.98,780.2µs,2.113296ms,3.204296ms,6.044642ms,126.696µs,9.994786ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,24,1,41831,0,4.002668464s,10450.78,1.738595ms,6.287501ms,9.340855ms,14.781071ms,135.081µs,24.578723ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,24,2,45446,0,4.003132137s,11352.61,1.614074ms,5.731218ms,8.773055ms,13.080378ms,132.001µs,22.632342ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,48,1,55294,0,4.002791014s,13813.86,1.942206ms,10.519922ms,15.298261ms,22.315692ms,115.685µs,37.927772ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,48,2,61922,0,4.003305419s,15467.72,1.549936ms,9.415765ms,13.915286ms,20.846106ms,129.968µs,36.374069ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,96,1,84928,0,4.005558477s,21202.54,1.230248ms,15.650299ms,23.426143ms,34.581889ms,122.95µs,55.021697ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,96,2,89977,0,4.005603285s,22462.78,1.22413ms,14.733909ms,22.147171ms,32.321888ms,104.871µs,62.456306ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,192,1,76979,0,4.017772739s,19159.62,3.02264ms,37.008393ms,59.429217ms,96.88344ms,113.349µs,209.717218ms
sequential_full_20260527_204614,go-stdlib,go,10,2048,192,2,84435,0,4.011187337s,21049.88,2.149343ms,33.817717ms,52.767876ms,79.920976ms,112.348µs,153.515245ms
