runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,7,96,1,418890,0,5.005632315s,83683.73,773.495µs,3.481116ms,5.866256ms,13.86885ms,38.326µs,31.321802ms,773495,3481116,5866256,13868850,38326,31321802
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,7,96,2,420829,0,5.003044052s,84114.59,788.1µs,3.5284ms,5.808653ms,9.143364ms,38.342µs,19.961705ms,788100,3528400,5808653,9143364,38342,19961705
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,7,192,1,479364,0,5.003108465s,95813.23,1.375297ms,6.031685ms,9.385435ms,15.178493ms,43.122µs,25.213053ms,1375297,6031685,9385435,15178493,43122,25213053
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,7,192,2,451857,0,5.005779712s,90267.06,1.419554ms,6.582799ms,10.43459ms,18.106269ms,42.257µs,43.889093ms,1419554,6582799,10434590,18106269,42257,43889093
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,1,1,12492,0,5.000228638s,2498.29,315.317µs,818.338µs,2.053417ms,3.8976ms,53.027µs,11.383512ms,315317,818338,2053417,3897600,53027,11383512
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,1,2,20366,0,5.000187966s,4073.05,231.552µs,328.29µs,415.356µs,873.394µs,109.826µs,3.151429ms,231552,328290,415356,873394,109826,3151429
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,6,1,99584,0,5.000883393s,19913.28,272.797µs,506.488µs,968.601µs,2.097087ms,58.015µs,7.995964ms,272797,506488,968601,2097087,58015,7995964
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,6,2,95227,0,5.00342989s,19032.34,275.695µs,538.99µs,1.089226ms,3.93398ms,57.498µs,18.746313ms,275695,538990,1089226,3933980,57498,18746313
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,12,1,144363,0,5.005202674s,28842.59,333.622µs,961.206µs,1.942451ms,4.781507ms,44.822µs,30.652082ms,333622,961206,1942451,4781507,44822,30652082
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,12,2,127493,0,5.000924911s,25493.88,342.226µs,1.091961ms,2.796013ms,10.657989ms,47.271µs,60.646771ms,342226,1091961,2796013,10657989,47271,60646771
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,24,1,233967,0,5.002115494s,46773.61,371.123µs,1.37084ms,2.693423ms,9.304396ms,39.362µs,35.024392ms,371123,1370840,2693423,9304396,39362,35024392
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,24,2,208496,0,5.001229664s,41688.95,418.956µs,1.668976ms,3.389752ms,6.604316ms,39.289µs,10.305607ms,418956,1668976,3389752,6604316,39289,10305607
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,48,1,278127,0,5.001708625s,55606.40,563.019µs,2.748753ms,5.091678ms,9.329803ms,40.296µs,20.993802ms,563019,2748753,5091678,9329803,40296,20993802
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,48,2,332541,0,5.003218468s,66465.42,496.178µs,2.156222ms,3.905545ms,8.469565ms,41.752µs,24.006075ms,496178,2156222,3905545,8469565,41752,24006075
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,96,1,320730,0,5.006670289s,64060.54,960.819µs,4.955739ms,8.507377ms,15.431197ms,41.081µs,56.775482ms,960819,4955739,8507377,15431197,41081,56775482
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,96,2,420021,0,5.003668826s,83942.61,790.21µs,3.490637ms,5.646611ms,10.427321ms,42.864µs,17.332204ms,790210,3490637,5646611,10427321,42864,17332204
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,192,1,429958,0,5.008944419s,85838.05,1.566863ms,6.749392ms,9.844976ms,14.531938ms,39.737µs,25.666293ms,1566863,6749392,9844976,14531938,39737,25666293
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,128,192,2,364128,0,5.004071832s,72766.34,1.73729ms,8.346367ms,13.667279ms,22.840181ms,44.02µs,39.812678ms,1737290,8346367,13667279,22840181,44020,39812678
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,1,1,15833,0,5.000179876s,3166.49,290.937µs,437.38µs,722.574µs,2.206598ms,108.179µs,16.885492ms,290937,437380,722574,2206598,108179,16885492
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,1,2,15701,0,5.000322129s,3140.00,280.799µs,484.424µs,1.021732ms,2.461088ms,100.164µs,4.433889ms,280799,484424,1021732,2461088,100164,4433889
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,6,1,83457,0,5.001081937s,16687.79,324.057µs,604.926µs,1.126611ms,2.436613ms,104.007µs,6.677895ms,324057,604926,1126611,2436613,104007,6677895
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,6,2,85402,0,5.001169931s,17076.40,321.158µs,572.393µs,1.035101ms,2.17679ms,95.497µs,5.520884ms,321158,572393,1035101,2176790,95497,5520884
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,12,1,127638,0,5.001119642s,25521.88,395.486µs,984.329µs,1.779548ms,4.124627ms,78.718µs,27.399744ms,395486,984329,1779548,4124627,78718,27399744
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,12,2,115790,0,5.001046294s,23153.15,412.364µs,1.134165ms,2.470308ms,6.909916ms,87.639µs,26.181098ms,412364,1134165,2470308,6909916,87639,26181098
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,24,1,120966,0,5.002727999s,24180.01,677.379µs,2.893985ms,6.174784ms,12.797877ms,73.011µs,31.239134ms,677379,2893985,6174784,12797877,73011,31239134
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,24,2,133619,0,5.00195019s,26713.38,611.06µs,2.380729ms,6.196604ms,17.724078ms,75.158µs,65.802454ms,611060,2380729,6196604,17724078,75158,65802454
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,48,1,235393,0,5.002451033s,47055.53,782.351µs,2.803615ms,4.265133ms,7.643355ms,79.417µs,21.860459ms,782351,2803615,4265133,7643355,79417,21860459
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,48,2,159121,0,5.00312556s,31804.32,1.032093ms,4.22848ms,8.895563ms,28.665587ms,69.3µs,41.897723ms,1032093,4228480,8895563,28665587,69300,41897723
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,96,1,225148,0,5.00177403s,45013.63,1.613988ms,5.97637ms,9.444326ms,15.736825ms,89.73µs,26.51582ms,1613988,5976370,9444326,15736825,89730,26515820
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,96,2,228909,0,5.00299813s,45754.36,1.530786ms,6.081584ms,9.065259ms,14.888349ms,87.86µs,27.123071ms,1530786,6081584,9065259,14888349,87860,27123071
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,192,1,246895,0,5.006624559s,49313.66,2.873546ms,10.935966ms,16.577103ms,32.071342ms,90.721µs,65.284117ms,2873546,10935966,16577103,32071342,90721,65284117
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,2048,192,2,276846,0,5.003009294s,55335.90,2.702701ms,9.45884ms,13.449857ms,18.934516ms,90.249µs,39.255198ms,2702701,9458840,13449857,18934516,90249,39255198
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,1,1,13989,0,5.00032612s,2797.62,338.542µs,472.096µs,583.183µs,1.04653ms,243.381µs,2.005252ms,338542,472096,583183,1046530,243381,2005252
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,1,2,12578,0,5.000298614s,2515.45,357.9µs,569.631µs,1.00095ms,2.296405ms,244.182µs,6.339554ms,357900,569631,1000950,2296405,244182,6339554
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,6,1,58022,0,5.000543035s,11603.14,434.345µs,922.655µs,1.917093ms,5.945404ms,199.435µs,18.266438ms,434345,922655,1917093,5945404,199435,18266438
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,6,2,45222,0,5.016254153s,9015.09,487.66µs,1.38296ms,3.520928ms,13.508792ms,205.159µs,48.303276ms,487660,1382960,3520928,13508792,205159,48303276
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,12,1,56119,0,5.001229033s,11221.04,780.104µs,2.621642ms,6.210169ms,14.55207ms,198.667µs,58.961332ms,780104,2621642,6210169,14552070,198667,58961332
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,12,2,65450,0,5.00088127s,13087.69,653.343µs,2.039652ms,5.702976ms,19.352328ms,210.145µs,48.210904ms,653343,2039652,5702976,19352328,210145,48210904
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,24,1,100159,0,5.001276218s,20026.69,999.581µs,2.743999ms,4.539738ms,8.420479ms,177.694µs,16.313647ms,999581,2743999,4539738,8420479,177694,16313647
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,24,2,80816,0,5.002925949s,16153.75,1.177797ms,3.646506ms,6.287081ms,12.798142ms,191.241µs,23.991193ms,1177797,3646506,6287081,12798142,191241,23991193
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,48,1,81704,0,5.003113882s,16330.63,2.309632ms,7.708556ms,12.253745ms,21.412079ms,192.349µs,37.393201ms,2309632,7708556,12253745,21412079,192349,37393201
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,48,2,88147,0,5.002227503s,17621.55,2.232471ms,6.635213ms,10.356048ms,18.280692ms,180.263µs,29.272375ms,2232471,6635213,10356048,18280692,180263,29272375
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,96,1,111316,0,5.004170651s,22244.65,3.877987ms,9.87864ms,14.143846ms,22.993136ms,209.99µs,41.075618ms,3877987,9878640,14143846,22993136,209990,41075618
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,96,2,116902,0,5.006054865s,23352.12,3.745435ms,9.118486ms,13.095647ms,18.079693ms,195.952µs,45.719942ms,3745435,9118486,13095647,18079693,195952,45719942
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,192,1,121957,0,5.009427892s,24345.49,7.232353ms,17.280331ms,24.415165ms,31.470068ms,212.14µs,44.075601ms,7232353,17280331,24415165,31470068,212140,44075601
sequential_generated_graal_20260528_1218,graalvm-native,helidon,10,generated,8192,192,2,125197,0,5.00677683s,25005.51,7.028634ms,16.698187ms,22.814514ms,31.266712ms,206.83µs,39.763769ms,7028634,16698187,22814514,31266712,206830,39763769
