runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_smoke_20260528_0748,go-stdlib,go,2,generated,7,1,1,4933,0,1.000195381s,4932.04,193.28µs,275.682µs,358.709µs,679.853µs,72.433µs,1.55595ms,193280,275682,358709,679853,72433,1555950
sequential_generated_smoke_20260528_0748,go-stdlib,go,2,generated,7,12,1,32717,0,1.000886309s,32688.03,288.286µs,877.084µs,1.790195ms,3.877491ms,40.731µs,11.691198ms,288286,877084,1790195,3877491,40731,11691198
sequential_generated_smoke_20260528_0748,go-stdlib,go,2,generated,2048,1,1,3983,0,1.000036553s,3982.85,232.667µs,358.968µs,640.26µs,1.025527ms,125.495µs,1.724456ms,232667,358968,640260,1025527,125495,1724456
sequential_generated_smoke_20260528_0748,go-stdlib,go,2,generated,2048,12,1,16198,0,1.004199493s,16130.26,632.252µs,1.709353ms,2.690488ms,4.876963ms,105.526µs,7.123779ms,632252,1709353,2690488,4876963,105526,7123779
