runId,runtimeVariant,service,workFactor,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max
go-stdlib,go-stdlib,go,1,7,1,1,100000,0,18.308522109s,5461.94,171.372µs,262.542µs,371.999µs,914.999µs,50.541µs,10.4607ms
go-stdlib,go-stdlib,go,1,7,12,1,100000,0,2.725287875s,36693.37,265.487µs,777.678µs,1.337299ms,2.435532ms,40.146µs,5.291377ms
oracle-jdk-jvm,oracle-jdk-jvm,helidon,1,7,1,1,100000,0,22.431051536s,4458.11,189.817µs,353.63µs,754.46µs,2.46132ms,38.787µs,6.641993ms
oracle-jdk-jvm,oracle-jdk-jvm,helidon,1,7,12,1,100000,0,2.731306719s,36612.51,276.119µs,718.024µs,1.305379ms,3.116654ms,38.645µs,8.5563ms
oracle-jdk-leyden-aot,oracle-jdk-leyden-aot,helidon,1,7,1,1,100000,0,19.115086557s,5231.47,175.7µs,274.244µs,417.07µs,1.168048ms,36.029µs,4.236472ms
oracle-jdk-leyden-aot,oracle-jdk-leyden-aot,helidon,1,7,12,1,100000,0,2.867571743s,34872.71,281.814µs,782.822µs,1.457552ms,2.81606ms,37.526µs,22.910084ms
