runId,runtimeVariant,service,status,workFactor,endpointMode,logRequests,gomaxprocs,goMemLimit,javaProcessors,javaOpts,notes
sequential_generated_probe_content_length_20260528_0923,go-stdlib,go,ran,2,generated,false,12,off,12,"-XX:ActiveProcessorCount=12 -XX:MaxRAMPercentage=75","Go net/http, GOMAXPROCS set explicitly"
sequential_generated_probe_content_length_20260528_0923,oracle-jdk-jvm,helidon,ran,2,generated,false,12,off,12,"-XX:ActiveProcessorCount=12 -XX:MaxRAMPercentage=75","Helidon SE; health output records virtual-thread request handling"
