runId,workFactor,endpointMode,payloadSize,concurrency,go-stdlibRpsMedian,oracle-jdk-jvmRpsMedian
sequential_generated_probe_content_length_20260528_0923,2,generated,2048,12,14605.19,267.10
sequential_generated_probe_content_length_20260528_0923,2,generated,2048,96,19997.77,2070.35
